Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6, C7, C8, C9",1206,8,10 uF,C96600
"C10, C5",0603,2,1 uF,C106215
C11,0805,1,33 uF,C342635
C12,0603,1,39nF,C107091
C14,226TTA350M,1,22UF,C6077372
"C15, C16",2220,2,2.2 uF,C445674
D1,D_SMA,1,US1M-13-F,C99333
L1,SRR1210-681M,1,680 uH,NULL
"R1, R2, R3",0805,3,200K,C728645
"R4, R5",0603,2,2.2K,C3032396
R6,0603,1,49.3K,C861433
R7,0603,1,15K,C855633
R8,0603,1,100K,C844916
R9,1206,1,90mR,C375525
U1,TPL0401B-10DCKR,1,TPL0401B-10DCKR,C2666599
U2,lm5156h,1,LM5156HPWPR,C2867852
U3,STN3N40K3,1,STN3N40K3,C128261
