Designator,Mid X,Mid Y,Rotation,Layer
C1,96.8,-46.4,270.0,top
C10,96.6,-51.0,0.0,top
C11,94.6,-62.0,270.0,top
C12,92.8,-65.4,270.0,top
C14,68.84,-63.0,0.0,top
C15,62.0,-42.0,270.0,top
C16,56.0,-42.0,270.0,top
C2,96.8,-41.6,90.0,top
C3,94.4,-41.6,90.0,top
C4,89.6,-46.4,270.0,top
C5,100.0,-59.2,0.0,top
C6,92.0,-41.6,90.0,top
C7,92.0,-46.4,270.0,top
C8,89.6,-41.6,90.0,top
C9,94.4,-46.4,270.0,top
D1,70.4,-39.6,0.0,top
L1,81.0,-44.0,180.0,top
R1,54.8,-51.6,0.0,top
R2,59.0,-51.6,0.0,top
R3,63.2,-51.6,0.0,top
R4,100.0,-52.8,180.0,top
R5,100.0,-60.8,0.0,top
R6,96.4,-61.8,270.0,top
R7,92.8,-61.8,270.0,top
R8,68.8,-51.6,0.0,top
R9,74.0,-51.6,0.0,top
U1,100.0,-56.0,90.0,top
U2,95.0,-56.0,270.0,top
U3,70.2,-46.0,0.0,top
