Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C6, C8, C9",0603,6,220 nF,C726565
C11,1210,1,0.1 uF,C141218
"C14, C15, C16, C2",0603,4,10000 pF,C115056
C3,0805,1,10 nF,C342860
C7,0805,1,0.47 uF,C596323
"D1, D2, D8",D_SMA,3,US1M-13-F,C99333
"D10, D6, D7",D_SMA,3,D_Zener,C110525
"D3, D4, D5",STPSC20065GY-TR,3,STPSC20065GY-TR,C2965441
D9,D_SOD-323,1,D_Zener,C82043
"J1, J2",2601-1102,2,2601-1102,C7509568
J3,S4B-XH-SM4-TB,1,S4B-XH-SM4-TB,C161861
L1,0402,1,BBUP00100505330Y00,C668299
"POGO1, POGO10, POGO11, POGO12, POGO13, POGO14, POGO15, POGO16, POGO17, POGO18, POGO19, POGO2, POGO20, POGO21, POGO22, POGO23, POGO24, POGO25, POGO26, POGO27, POGO28, POGO29, POGO3, POGO30, POGO4, POGO5, POGO6, POGO7, POGO8, POGO9",0906-8-15-20-76-14-11-0,30,0906-8-15-20-76-14-11-0,C5128298
Q1,SUM110P08-11L-E3,1,SUM110P08-11L-E3,C2838509
Q2,DMP45H4D9HK3-13,1,DMP45H4D9HK3-13,
Q3,TO-263-2,1,SIHB068N60EF-GE3,C3009875
"R1, R2",0603,2,1K,C22548
"R10, R11, R8",0805,3,332K,
"R12, R14, R17, R20, R21, R25, R3, R4",0603,8,10K,C20161635
R13,2512,1,1R,C840599
"R15, R19, R26",0603,3,100R,C20161635
"R16, R27",2512,2,1K,C7038808
"R18, R28, R29",0603,3,2.2K,C3032396
"R22, R23",2512,2,12K,C2082818
"R24, R7, R9",2512,3,10R,
"R5, R6",0603,2,255K,C295887
U1,POWER_MANAGEMENT_MODULE_FOOTPRINT_V1.0,1,POWER_MANAGEMENT_MODULE,
U2,HIGH-CURRENT_PHASE_MODULE_FOOTPRINT_V1.0,1,HIGH-CURRENT_PHASE_MODULE_V1.0,
U3,HIGH-VOLTAGE_PHASE_MODULE_FOOTPRINT_V1.0,1,HIGH-VOLTAGE_PHASE_MODULE,
"U4, U6, U7",UCC23313BDWYR,3,UCC23313BDWYR,C2868027
U5,TMCS1133C3AQDVGR,1,TMCS1133C1A,C32266987
U8,SC0915,1,SC0915,C7203002
