Designator,Mid X,Mid Y,Rotation,Layer
C1,234.0,-91.0,270.0,bottom
C10,34.0,-53.4,270.0,bottom
C11,28.4,-54.6,0.0,bottom
C13,74.0,-52.8,0.0,bottom
C14,208.0,-50.0,270.0,bottom
C15,212.0,-50.0,90.0,bottom
C16,207.4,-79.2,0.0,bottom
C2,234.0,-84.2,90.0,bottom
C3,50.4,-58.4,90.0,top
C6,84.0,-52.8,0.0,bottom
C7,84.0,-50.5,180.0,bottom
C8,50.6,-65.8,270.0,bottom
C9,53.8,-65.8,270.0,bottom
D1,80.0,-52.2,90.0,top
D10,69.0,-52.5,90.0,bottom
D2,45.4,-53.4,0.0,top
D3,60.0,-38.075,90.0,top
D4,72.0,-38.075,90.0,top
D5,48.0,-38.125,90.0,top
D6,79.0,-52.5,270.0,bottom
D7,29.6,-51.0,180.0,bottom
D8,80.0,-60.6,90.0,top
D9,75.6,-64.8,0.0,top
J1,241.5,-46.25,90.0,top
J2,32.4875,-41.0549,270.0,top
J3,245.0,-85.0,270.0,bottom
L1,49.2,-65.6,270.0,bottom
Q1,84.0,-38.125,90.0,top
Q2,40.0,-60.0,0.0,top
Q3,66.925,-58.0,180.0,top
R1,237.2,-91.8,0.0,bottom
R10,45.2,-65.8,90.0,bottom
R11,47.4,-65.8,270.0,bottom
R12,43.575,-68.6,180.0,bottom
R13,47.0,-60.4,90.0,top
R14,88.8,-50.4,270.0,top
R15,84.0,-68.0,0.0,bottom
R16,79.0,-60.4,90.0,bottom
R17,55.4,-65.8,90.0,bottom
R18,52.2,-65.8,90.0,bottom
R19,45.8,-49.8,0.0,bottom
R2,237.2,-83.4,0.0,bottom
R20,53.0,-68.6,180.0,bottom
R21,58.5,-65.8,270.0,bottom
R22,36.4,-60.2,270.0,bottom
R23,32.4,-60.2,90.0,bottom
R24,84.0,-60.4,90.0,top
R25,72.2,-64.8,180.0,top
R26,74.0,-68.0,0.0,bottom
R27,69.0,-60.4,270.0,bottom
R28,204.5,-50.0,90.0,bottom
R29,201.75,-50.0,90.0,bottom
R3,237.2,-90.2,0.0,bottom
R4,237.2,-85.0,0.0,bottom
R5,87.0,-50.4,270.0,top
R6,32.6,-60.0,90.0,top
R7,84.0,-52.4,90.0,top
R8,43.0,-65.8,270.0,bottom
R9,37.4,-53.4,180.0,top
U4,84.0,-60.4,90.0,bottom
U5,55.0,-58.0,270.0,bottom
U6,41.6,-53.4,0.0,bottom
U7,74.0,-60.4,90.0,bottom
U8,226.0,-64.0,90.0,bottom
