Designator,Mid X,Mid Y,Rotation,Layer
C1,83.0,-48.0,90.0,top
C10,92.0,-56.0,270.0,top
C11,42.1,-44.8,90.0,top
C12,54.1,-59.2,270.0,top
C13,56.5,-59.2,270.0,top
C14,58.9,-59.2,270.0,top
C15,49.3,-59.2,270.0,top
C16,51.7,-59.2,270.0,top
C17,54.1,-54.4,90.0,top
C18,56.5,-54.4,90.0,top
C19,44.5,-59.2,270.0,top
C2,83.0,-56.0,270.0,top
C20,46.9,-59.2,270.0,top
C21,58.9,-54.4,90.0,top
C22,42.1,-59.2,270.0,top
C23,56.5,-49.6,270.0,top
C24,58.9,-49.6,270.0,top
C25,42.1,-54.4,90.0,top
C26,44.5,-54.4,90.0,top
C27,46.9,-54.4,90.0,top
C28,49.3,-54.4,90.0,top
C29,51.7,-54.4,90.0,top
C3,86.0,-48.0,90.0,top
C30,51.7,-44.8,90.0,top
C31,42.1,-49.6,270.0,top
C32,44.5,-49.6,270.0,top
C33,46.9,-49.6,270.0,top
C34,49.3,-49.6,270.0,top
C35,54.1,-49.6,270.0,top
C36,44.5,-44.8,90.0,top
C37,46.9,-44.8,90.0,top
C38,49.3,-44.8,90.0,top
C39,54.1,-44.8,90.0,top
C4,71.8975,-77.0,90.0,top
C40,56.5,-44.8,90.0,top
C41,58.9,-44.8,90.0,top
C42,51.7,-49.6,270.0,top
C5,86.0,-56.0,270.0,top
C6,72.1025,-27.0,270.0,top
C7,89.0,-48.0,90.0,top
C8,89.0,-56.0,270.0,top
C9,92.0,-48.0,90.0,top
L1,72.0,-52.0,180.0,top
R1,97.0,-81.0,90.0,top
